home_team,game_date
Atlanta Hawks,2021-05-28
Atlanta Hawks,2021-05-30
Atlanta Hawks,2021-06-11
Atlanta Hawks,2021-06-14
Atlanta Hawks,2021-06-18
Atlanta Hawks,2021-06-27
Atlanta Hawks,2021-06-29
Atlanta Hawks,2021-07-03
Atlanta Hawks,2022-04-13
Atlanta Hawks,2022-04-22
Atlanta Hawks,2022-04-24
Atlanta Hawks,2023-04-21
Atlanta Hawks,2023-04-23
Atlanta Hawks,2023-04-27
Boston Celtics,2020-08-17
Boston Celtics,2020-08-19
Boston Celtics,2020-09-03
Boston Celtics,2020-09-05
Boston Celtics,2020-09-09
Boston Celtics,2020-09-14
Boston Celtics,2020-09-15
Boston Celtics,2020-09-17
Boston Celtics,2020-09-25
Boston Celtics,2021-01-10
Boston Celtics,2021-05-18
Boston Celtics,2021-05-28
Boston Celtics,2021-05-30
Boston Celtics,2022-04-17
Boston Celtics,2022-04-20
Boston Celtics,2022-05-01
Boston Celtics,2022-05-03
Boston Celtics,2022-05-11
Boston Celtics,2022-05-15
Boston Celtics,2022-05-21
Boston Celtics,2022-05-23
Boston Celtics,2022-05-27
Boston Celtics,2022-06-08
Boston Celtics,2022-06-10
Boston Celtics,2022-06-16
Boston Celtics,2023-04-15
Boston Celtics,2023-04-18
Boston Celtics,2023-04-25
Boston Celtics,2023-05-01
Boston Celtics,2023-05-03
Boston Celtics,2023-05-09
Boston Celtics,2023-05-14
Boston Celtics,2023-05-17
Boston Celtics,2023-05-19
Boston Celtics,2023-05-25
Boston Celtics,2023-05-29
Boston Celtics,2024-04-21
Boston Celtics,2024-04-24
Boston Celtics,2024-05-01
Boston Celtics,2024-05-07
Boston Celtics,2024-05-09
Boston Celtics,2024-05-15
Boston Celtics,2024-05-21
Boston Celtics,2024-05-23
Boston Celtics,2024-06-06
Boston Celtics,2024-06-09
Boston Celtics,2024-06-17
Brooklyn Nets,2020-08-21
Brooklyn Nets,2020-08-23
Brooklyn Nets,2021-05-22
Brooklyn Nets,2021-05-25
Brooklyn Nets,2021-06-01
Brooklyn Nets,2021-06-05
Brooklyn Nets,2021-06-07
Brooklyn Nets,2021-06-15
Brooklyn Nets,2021-06-19
Brooklyn Nets,2021-12-19
Brooklyn Nets,2022-04-12
Brooklyn Nets,2022-04-23
Brooklyn Nets,2022-04-25
Brooklyn Nets,2023-04-20
Brooklyn Nets,2023-04-22
Chicago Bulls,2022-04-22
Chicago Bulls,2022-04-24
Chicago Bulls,2024-04-16
Chicago Bulls,2024-04-17
Chicago Bulls,2025-04-16
Cleveland Cavaliers,2022-04-15
Cleveland Cavaliers,2023-04-15
Cleveland Cavaliers,2023-04-16
Cleveland Cavaliers,2023-04-18
Cleveland Cavaliers,2023-04-26
Cleveland Cavaliers,2024-04-20
Cleveland Cavaliers,2024-04-22
Cleveland Cavaliers,2024-04-30
Cleveland Cavaliers,2024-05-05
Cleveland Cavaliers,2024-05-11
Cleveland Cavaliers,2024-05-13
Dallas Mavericks,2020-08-21
Dallas Mavericks,2020-08-23
Dallas Mavericks,2020-08-27
Dallas Mavericks,2020-08-30
Dallas Mavericks,2021-01-11
Dallas Mavericks,2021-05-28
Dallas Mavericks,2021-05-30
Dallas Mavericks,2021-06-04
Dallas Mavericks,2022-04-16
Dallas Mavericks,2022-04-18
Dallas Mavericks,2022-04-25
Dallas Mavericks,2022-05-06
Dallas Mavericks,2022-05-08
Dallas Mavericks,2022-05-12
Dallas Mavericks,2022-05-22
Dallas Mavericks,2022-05-24
Dallas Mavericks,2024-04-26
Dallas Mavericks,2024-04-28
Dallas Mavericks,2024-05-03
Dallas Mavericks,2024-05-11
Dallas Mavericks,2024-05-13
Dallas Mavericks,2024-05-18
Dallas Mavericks,2024-05-26
Dallas Mavericks,2024-05-28
Dallas Mavericks,2024-06-12
Dallas Mavericks,2024-06-14
Denver Nuggets,2020-08-17
Denver Nuggets,2020-08-19
Denver Nuggets,2020-08-25
Denver Nuggets,2020-09-01
Denver Nuggets,2020-09-07
Denver Nuggets,2020-09-09
Denver Nuggets,2020-09-13
Denver Nuggets,2020-09-22
Denver Nuggets,2020-09-24
Denver Nuggets,2021-02-01
Denver Nuggets,2021-05-22
Denver Nuggets,2021-05-23
Denver Nuggets,2021-05-24
Denver Nuggets,2021-06-01
Denver Nuggets,2021-06-11
Denver Nuggets,2021-06-13
Denver Nuggets,2021-12-30
Denver Nuggets,2022-04-21
Denver Nuggets,2022-04-24
Denver Nuggets,2023-04-16
Denver Nuggets,2023-04-19
Denver Nuggets,2023-04-25
Denver Nuggets,2023-04-29
Denver Nuggets,2023-05-01
Denver Nuggets,2023-05-09
Denver Nuggets,2023-05-16
Denver Nuggets,2023-05-18
Denver Nuggets,2023-06-01
Denver Nuggets,2023-06-04
Denver Nuggets,2023-06-12
Denver Nuggets,2024-04-20
Denver Nuggets,2024-04-22
Denver Nuggets,2024-04-29
Denver Nuggets,2024-05-04
Denver Nuggets,2024-05-06
Denver Nuggets,2024-05-14
Denver Nuggets,2024-05-19
Denver Nuggets,2025-04-19
Detroit Pistons,2023-02-01
Golden State Warriors,2021-05-21
Golden State Warriors,2022-04-16
Golden State Warriors,2022-04-18
Golden State Warriors,2022-04-27
Golden State Warriors,2022-05-07
Golden State Warriors,2022-05-09
Golden State Warriors,2022-05-13
Golden State Warriors,2022-05-18
Golden State Warriors,2022-05-20
Golden State Warriors,2022-05-26
Golden State Warriors,2022-06-02
Golden State Warriors,2022-06-05
Golden State Warriors,2022-06-13
Golden State Warriors,2023-04-20
Golden State Warriors,2023-04-23
Golden State Warriors,2023-04-28
Golden State Warriors,2023-05-02
Golden State Warriors,2023-05-04
Golden State Warriors,2023-05-10
Golden State Warriors,2025-04-15
Houston Rockets,2020-08-18
Houston Rockets,2020-08-20
Houston Rockets,2020-08-26
Houston Rockets,2020-08-29
Houston Rockets,2020-09-02
Houston Rockets,2020-09-08
Houston Rockets,2020-09-10
Houston Rockets,2020-12-23
Indiana Pacers,2020-08-18
Indiana Pacers,2020-08-20
Indiana Pacers,2021-05-18
Indiana Pacers,2024-04-26
Indiana Pacers,2024-04-28
Indiana Pacers,2024-05-02
Indiana Pacers,2024-05-10
Indiana Pacers,2024-05-12
Indiana Pacers,2024-05-17
Indiana Pacers,2024-05-25
Indiana Pacers,2024-05-27
Indiana Pacers,2025-01-23
Indiana Pacers,2025-04-19
Los Angeles Clippers,2020-08-01
Los Angeles Clippers,2020-08-04
Los Angeles Clippers,2020-08-09
Los Angeles Clippers,2020-08-14
Los Angeles Clippers,2020-08-17
Los Angeles Clippers,2020-08-19
Los Angeles Clippers,2020-08-25
Los Angeles Clippers,2020-09-03
Los Angeles Clippers,2020-09-05
Los Angeles Clippers,2020-09-11
Los Angeles Clippers,2020-09-15
Los Angeles Clippers,2020-12-27
Los Angeles Clippers,2020-12-29
Los Angeles Clippers,2020-12-30
Los Angeles Clippers,2021-01-05
Los Angeles Clippers,2021-01-10
Los Angeles Clippers,2021-01-13
Los Angeles Clippers,2021-01-17
Los Angeles Clippers,2021-01-20
Los Angeles Clippers,2021-01-22
Los Angeles Clippers,2021-01-24
Los Angeles Clippers,2021-02-05
Los Angeles Clippers,2021-02-07
Los Angeles Clippers,2021-02-14
Los Angeles Clippers,2021-02-15
Los Angeles Clippers,2021-02-17
Los Angeles Clippers,2021-02-19
Los Angeles Clippers,2021-02-21
Los Angeles Clippers,2021-02-23
Los Angeles Clippers,2021-03-11
Los Angeles Clippers,2021-03-20
Los Angeles Clippers,2021-03-22
Los Angeles Clippers,2021-03-27
Los Angeles Clippers,2021-03-29
Los Angeles Clippers,2021-03-30
Los Angeles Clippers,2021-04-01
Los Angeles Clippers,2021-04-04
Los Angeles Clippers,2021-04-06
Los Angeles Clippers,2021-04-08
Los Angeles Clippers,2021-04-09
Los Angeles Clippers,2021-04-11
Los Angeles Clippers,2021-04-18
Los Angeles Clippers,2021-04-21
Los Angeles Clippers,2021-05-01
Los Angeles Clippers,2021-05-04
Los Angeles Clippers,2021-05-06
Los Angeles Clippers,2021-05-09
Los Angeles Clippers,2021-05-22
Los Angeles Clippers,2021-05-23
Los Angeles Clippers,2021-05-25
Los Angeles Clippers,2021-06-02
Los Angeles Clippers,2021-06-06
Los Angeles Clippers,2021-06-12
Los Angeles Clippers,2021-06-14
Los Angeles Clippers,2021-06-18
Los Angeles Clippers,2021-06-24
Los Angeles Clippers,2021-06-26
Los Angeles Clippers,2021-06-30
Los Angeles Clippers,2021-10-23
Los Angeles Clippers,2021-10-25
Los Angeles Clippers,2021-10-27
Los Angeles Clippers,2021-11-01
Los Angeles Clippers,2021-11-07
Los Angeles Clippers,2021-11-09
Los Angeles Clippers,2021-11-11
Los Angeles Clippers,2021-11-13
Los Angeles Clippers,2021-11-14
Los Angeles Clippers,2021-11-16
Los Angeles Clippers,2021-11-21
Los Angeles Clippers,2021-11-23
Los Angeles Clippers,2021-11-26
Los Angeles Clippers,2021-11-28
Los Angeles Clippers,2021-11-29
Los Angeles Clippers,2021-12-01
Los Angeles Clippers,2021-12-08
Los Angeles Clippers,2021-12-11
Los Angeles Clippers,2021-12-13
Los Angeles Clippers,2021-12-20
Los Angeles Clippers,2021-12-26
Los Angeles Clippers,2021-12-27
Los Angeles Clippers,2022-01-03
Los Angeles Clippers,2022-01-08
Los Angeles Clippers,2022-01-09
Los Angeles Clippers,2022-01-11
Los Angeles Clippers,2022-01-17
Los Angeles Clippers,2022-02-03
Los Angeles Clippers,2022-02-06
Los Angeles Clippers,2022-02-14
Los Angeles Clippers,2022-02-17
Los Angeles Clippers,2022-03-03
Los Angeles Clippers,2022-03-06
Los Angeles Clippers,2022-03-09
Los Angeles Clippers,2022-03-16
Los Angeles Clippers,2022-03-25
Los Angeles Clippers,2022-03-29
Los Angeles Clippers,2022-04-03
Los Angeles Clippers,2022-04-06
Los Angeles Clippers,2022-04-09
Los Angeles Clippers,2022-04-10
Los Angeles Clippers,2022-04-15
Los Angeles Clippers,2022-10-23
