home_team,game_date
Los Angeles Lakers,2020-08-03
Denver Nuggets,2020-08-17
Toronto Raptors,2020-08-17
Boston Celtics,2020-08-17
Los Angeles Clippers,2020-08-17
Milwaukee Bucks,2020-08-18
Oklahoma City Thunder,2020-08-18
Portland Trail Blazers,2020-08-15
Miami Heat,2020-08-18
Los Angeles Lakers,2020-08-18
Houston Rockets,2020-08-18
Indiana Pacers,2020-08-18
Denver Nuggets,2020-08-19
Toronto Raptors,2020-08-19
Boston Celtics,2020-08-19
Los Angeles Clippers,2020-08-19
Milwaukee Bucks,2020-08-20
Indiana Pacers,2020-08-20
Houston Rockets,2020-08-20
Los Angeles Lakers,2020-08-20
Brooklyn Nets,2020-08-21
Philadelphia 76ers,2020-08-21
Utah Jazz,2020-08-21
Dallas Mavericks,2020-08-21
Miami Heat,2020-08-22
Oklahoma City Thunder,2020-08-22
Orlando Magic,2020-08-22
Portland Trail Blazers,2020-08-22
Brooklyn Nets,2020-08-23
Utah Jazz,2020-08-23
Philadelphia 76ers,2020-08-23
Dallas Mavericks,2020-08-23
Orlando Magic,2020-08-24
Miami Heat,2020-08-24
Oklahoma City Thunder,2020-08-24
Portland Trail Blazers,2020-08-24
Los Angeles Clippers,2020-08-25
Toronto Raptors,2020-08-27
Denver Nuggets,2020-08-25
Houston Rockets,2020-08-26
Milwaukee Bucks,2020-08-26
Los Angeles Lakers,2020-08-26
Utah Jazz,2020-08-27
Dallas Mavericks,2020-08-27
Milwaukee Bucks,2020-08-29
Houston Rockets,2020-08-29
Los Angeles Lakers,2020-08-29
Toronto Raptors,2020-08-30
Dallas Mavericks,2020-08-30
Utah Jazz,2020-08-30
Milwaukee Bucks,2020-08-31
Oklahoma City Thunder,2020-08-31
Toronto Raptors,2020-09-01
Denver Nuggets,2020-09-01
Milwaukee Bucks,2020-09-02
Houston Rockets,2020-09-02
Los Angeles Clippers,2020-09-03
Boston Celtics,2020-09-03
Miami Heat,2020-09-04
Los Angeles Lakers,2020-09-04
Boston Celtics,2020-09-05
Los Angeles Clippers,2020-09-05
Miami Heat,2020-09-06
Los Angeles Lakers,2020-09-06
Toronto Raptors,2020-09-07
Denver Nuggets,2020-09-07
Milwaukee Bucks,2020-09-08
Houston Rockets,2020-09-08
Denver Nuggets,2020-09-09
Boston Celtics,2020-09-09
Houston Rockets,2020-09-10
Toronto Raptors,2020-09-11
Los Angeles Clippers,2020-09-11
Los Angeles Lakers,2020-09-12
Denver Nuggets,2020-09-13
Boston Celtics,2020-09-15
Boston Celtics,2020-09-14
Los Angeles Clippers,2020-09-15
Boston Celtics,2020-09-17
Los Angeles Lakers,2020-09-18
Miami Heat,2020-09-19
Los Angeles Lakers,2020-09-20
Miami Heat,2020-09-23
Denver Nuggets,2020-09-22
Denver Nuggets,2020-09-24
Boston Celtics,2020-09-25
Los Angeles Lakers,2020-09-26
Miami Heat,2020-09-27
Los Angeles Lakers,2020-09-30
Los Angeles Lakers,2020-10-02
Miami Heat,2020-10-04
Miami Heat,2020-10-06
Los Angeles Lakers,2020-10-09
Miami Heat,2020-10-11
Houston Rockets,2020-12-23
Boston Celtics,2021-01-10
Dallas Mavericks,2021-01-11
Phoenix Suns,2021-01-13
Minnesota Timberwolves,2021-01-15
Oklahoma City Thunder,2021-01-17
Portland Trail Blazers,2021-01-20
New Orleans Pelicans,2021-01-25
Denver Nuggets,2021-02-01
Minnesota Timberwolves,2021-04-12
Indiana Pacers,2021-05-18
Boston Celtics,2021-05-18
Memphis Grizzlies,2021-05-19
Los Angeles Lakers,2021-05-19
Los Angeles Clippers,2021-05-22
Denver Nuggets,2021-05-22
New York Knicks,2021-05-22
Milwaukee Bucks,2021-05-22
Los Angeles Clippers,2021-05-23
Denver Nuggets,2021-05-23
New York Knicks,2021-05-23
Washington Wizards,2021-05-20
Brooklyn Nets,2021-05-22
Phoenix Suns,2021-05-23
Golden State Warriors,2021-05-21
Philadelphia 76ers,2021-05-23
Utah Jazz,2021-05-23
Milwaukee Bucks,2021-05-24
Brooklyn Nets,2021-05-25
Los Angeles Clippers,2021-05-25
Denver Nuggets,2021-05-24
Philadelphia 76ers,2021-05-26
Phoenix Suns,2021-05-25
New York Knicks,2021-05-26
Utah Jazz,2021-05-26
Miami Heat,2021-05-27
Portland Trail Blazers,2021-05-27
Boston Celtics,2021-05-28
Dallas Mavericks,2021-05-28
Los Angeles Lakers,2021-05-27
Washington Wizards,2021-05-29
Atlanta Hawks,2021-05-28
Memphis Grizzlies,2021-05-29
Miami Heat,2021-05-29
Los Angeles Lakers,2021-05-30
Portland Trail Blazers,2021-05-29
Atlanta Hawks,2021-05-30
Boston Celtics,2021-05-30
Dallas Mavericks,2021-05-30
Denver Nuggets,2021-06-01
Washington Wizards,2021-05-31
Memphis Grizzlies,2021-05-31
Phoenix Suns,2021-06-01
Brooklyn Nets,2021-06-01
Los Angeles Clippers,2021-06-02
New York Knicks,2021-06-02
Utah Jazz,2021-06-02
Philadelphia 76ers,2021-06-02
Brooklyn Nets,2021-06-05
Portland Trail Blazers,2021-06-03
Los Angeles Lakers,2021-06-03
Philadelphia 76ers,2021-06-04
Dallas Mavericks,2021-06-04
Philadelphia 76ers,2021-06-06
Phoenix Suns,2021-06-07
Phoenix Suns,2021-06-05
Los Angeles Clippers,2021-06-06
Brooklyn Nets,2021-06-07
Philadelphia 76ers,2021-06-08
Utah Jazz,2021-06-08
Milwaukee Bucks,2021-06-10
Phoenix Suns,2021-06-09
Atlanta Hawks,2021-06-11
Utah Jazz,2021-06-10
Denver Nuggets,2021-06-11
Milwaukee Bucks,2021-06-13
Los Angeles Clippers,2021-06-12
Atlanta Hawks,2021-06-14
Denver Nuggets,2021-06-13
Los Angeles Clippers,2021-06-14
Brooklyn Nets,2021-06-15
Philadelphia 76ers,2021-06-16
Utah Jazz,2021-06-16
Milwaukee Bucks,2021-06-17
Atlanta Hawks,2021-06-18
Los Angeles Clippers,2021-06-18
Brooklyn Nets,2021-06-19
Philadelphia 76ers,2021-06-20
Phoenix Suns,2021-06-20
Phoenix Suns,2021-06-22
Milwaukee Bucks,2021-06-23
Los Angeles Clippers,2021-06-24
Milwaukee Bucks,2021-06-25
Los Angeles Clippers,2021-06-26
Atlanta Hawks,2021-06-27
Phoenix Suns,2021-06-28
Atlanta Hawks,2021-06-29
Los Angeles Clippers,2021-06-30
Milwaukee Bucks,2021-07-01
Atlanta Hawks,2021-07-03
Phoenix Suns,2021-07-06
Phoenix Suns,2021-07-08
Milwaukee Bucks,2021-07-11
Milwaukee Bucks,2021-07-14
Phoenix Suns,2021-07-17
Milwaukee Bucks,2021-07-20
Philadelphia 76ers,2021-12-19
Brooklyn Nets,2021-12-19
San Antonio Spurs,2021-12-29
Denver Nuggets,2021-12-30
Minnesota Timberwolves,2022-04-12
New Orleans Pelicans,2022-04-13
Brooklyn Nets,2022-04-12
Atlanta Hawks,2022-04-13
Philadelphia 76ers,2022-04-16
Milwaukee Bucks,2022-04-17
Golden State Warriors,2022-04-16
Dallas Mavericks,2022-04-16
Boston Celtics,2022-04-17
Memphis Grizzlies,2022-04-16
Cleveland Cavaliers,2022-04-15
Los Angeles Clippers,2022-04-15
Miami Heat,2022-04-17
Phoenix Suns,2022-04-17
Dallas Mavericks,2022-04-18
Memphis Grizzlies,2022-04-19
Philadelphia 76ers,2022-04-18
Golden State Warriors,2022-04-18
Miami Heat,2022-04-19
Boston Celtics,2022-04-20
Milwaukee Bucks,2022-04-20
Phoenix Suns,2022-04-19
Toronto Raptors,2022-04-20
Utah Jazz,2022-04-21
Denver Nuggets,2022-04-21
Atlanta Hawks,2022-04-22
Minnesota Timberwolves,2022-04-21
New Orleans Pelicans,2022-04-22
Brooklyn Nets,2022-04-23
Toronto Raptors,2022-04-23
Chicago Bulls,2022-04-22
Minnesota Timberwolves,2022-04-23
Utah Jazz,2022-04-23
Denver Nuggets,2022-04-24
Atlanta Hawks,2022-04-24
Chicago Bulls,2022-04-24
New Orleans Pelicans,2022-04-24
Philadelphia 76ers,2022-04-25
Dallas Mavericks,2022-04-25
Brooklyn Nets,2022-04-25
Memphis Grizzlies,2022-04-26
Milwaukee Bucks,2022-04-27
Golden State Warriors,2022-04-27
Miami Heat,2022-04-26
Phoenix Suns,2022-04-26
Toronto Raptors,2022-04-28
Utah Jazz,2022-04-28
Minnesota Timberwolves,2022-04-29
New Orleans Pelicans,2022-04-28
Boston Celtics,2022-05-01
Miami Heat,2022-05-02
Phoenix Suns,2022-05-02
Memphis Grizzlies,2022-05-01
Boston Celtics,2022-05-03
Memphis Grizzlies,2022-05-03
