api_name,player_id,suggested_name,confidence,other_suggestions
Nicolas Claxton,1629651,Nic Claxton,1.00,Speedy Claxton (0.77); Nicolas Batum (0.71)
Ron Holland,1641842,Ronald Holland II,1.03,John Holland (1.02); Bones Hyland (0.70)
Herb Jones,1630529,Herbert Jones,1.02,Perry Jones III (0.91); Tre Jones (0.89)
Nikola Jokic,203999,Nikola Jokić,0.92,Nikola Jović (0.83); Nikola Mirotic (0.77)
Dennis Schroder,203471,Dennis Schröder,0.93,Dennis Horner (0.79); Dennis Smith Jr. (0.67)
Bogdan Bogdanovic,202711,Bojan Bogdanovic,1.06,Bogdan Bogdanović (0.94); Boban Marjanovic (0.67)
Vit Krejci,1630249,Vít Krejčí,0.70,David Duke Jr. (0.50); Vitor Faverani (0.50)
Monte Morris,1628420,Monté Morris,1.07,Markieff Morris (0.82); Jaylen Morris (0.79)
Jusuf Nurkic,203994,Jusuf Nurkić,0.92,AJ Price (0.50); Jules Bernard (0.48)
Nikola Jovic,1631107,Nikola Jović,0.92,Nikola Pekovic (0.85); Nikola Jokić (0.83)
Kristaps Porzingis,204001,Kristaps Porziņģis,0.89,Keith Appling (0.58); Kyrie Irving (0.53)
Nikola Vucevic,202696,Nikola Vučević,0.86,Nikola Pekovic (0.79); Nikola Jović (0.69)
Carlton Carrington,1642267,Bub Carrington,0.84,Al Harrington (0.77); Aaron Harrison (0.69)
Jonas Valanciunas,202685,Jonas Valančiūnas,0.88,Donatas Motiejunas (0.57); John Salmons (0.55)
Tidjane Salaun,1642275,Tidjane Salaün,0.93,Brian Scalabrine (0.60); Jalen Slawson (0.59)
Moussa Diabate,1631217,Moussa Diabaté,0.93,Moussa Cisse (0.69); Ousmane Dieng (0.59)
Luka Doncic,1629029,Luka Dončić,0.82,Luka Samanic (0.70); Luke Kornet (0.55)
Dante Exum,203957,Danté Exum,1.05,Dante Cunningham (0.62); Daniel Ochefu (0.61)
Vincent Williams Jr,1631246,Vince Williams Jr.,0.85,Marvin Williams (0.71); Nate Williams (0.69)
Karlo Matkovic,1631255,Karlo Matković,0.93,Marko Simonovic (0.62); Jarell Martin (0.59)
Lonnie Walker,1629022,Lonnie Walker IV,0.90,Henry Walker (0.79); Kemba Walker (0.79)
James Huff,1630643,Jay Huff,0.93,James White (0.67); James Young (0.67)
Dario Saric,203967,Dario Šarić,0.82,Day'Ron Sharpe (0.67); Darius Songaila (0.62)
Egor Demin,1642856,Egor Dëmin,0.90,Gorgui Dieng (0.64); Greg Oden (0.63)
Hugo Gonzalez,1642864,Hugo González,0.92,Royce O'Neale (0.56); Noah Vonleh (0.50)
Cameron Thomas,1630560,Cam Thomas,0.98,Adonis Thomas (0.89); Etan Thomas (0.87)
Caldwell Pope Kentavious,,Carldell Johnson,0.55,Kentavious Caldwell-Pope (0.54); Mickael Pietrus (0.51)
Xavier Tillman Sr.,1630214,Xavier Tillman,0.88,Xavier Silas (0.73); Xavier Rathan-Mayes (0.65)
Joshua Giddey,1630581,Josh Giddey,1.07,Josh Okogie (0.67); Joshua Primo (0.64)
Goodwin Jordan,201599,DeAndre Jordan,0.79,Jerome Jordan (0.74); Aaron Gordon (0.54)
J. Tate,1630256,Jae'Sean Tate,0.78,Jeff Teague (0.56); DJ White (0.53)
Z. Williams,203710,C.J. Williams,0.97,Mo Williams (0.97); Lou Williams (0.93)
P. Pritchard,1630202,Payton Pritchard,0.94,Will Richard (0.67); Nick Richards (0.64)
Alfred Joel Horford Reynoso,,Al Horford,0.54,Jared Rhoden (0.51); Alize Johnson (0.50)
Brook Robert Lopez,201572,Brook Lopez,0.91,Robin Lopez (0.77); Fabricio Oberto (0.61)
P. J. Tucker,200782,P.J. Tucker,1.01,Rayjon Tucker (0.79); Alando Tucker (0.71)
Eric Ambrose Gordon Jr.,,Eric Gordon,0.65,Aaron Gordon (0.57); Eric Dawson (0.53)
"Portis, Bobby",,Chris Babb,0.61,Chris Bosh (0.52); Mike Bibby (0.52)
Xavier Tillman Sr,1630214,Xavier Tillman,0.90,Xavier Silas (0.76); Xavier Rathan-Mayes (0.67)
Murray Dejounte,,Perry Jones III,0.62,Jemerrio Jones (0.55); Bryce Dejean-Jones (0.55)
Wembanyama Victor,,Victor Wembanyama,0.59,Nemanja Nedovic (0.56); Nemanja Bjelica (0.50)
Cam Johnson,101161,Amir Johnson,1.02,AJ Johnson (1.01); Cameron Johnson (1.00)
Grant Jerami,203511,Grant Jerrett,0.72,Goran Dragic (0.67); Grant Riller (0.67)
Thor JT,,JT Thor,0.57,Al Thornton (0.56); Theo Ratliff (0.53)
Huerter Kevin,,Hunter Dickinson,0.62,George King (0.58); Rasheer Fleming (0.57)
Christian James McCollum,203468,CJ McCollum,0.78,Christian Braun (0.62); Chris McCullough (0.60)
Obadiah Toppin,1630167,Obi Toppin,0.98,Jacob Toppin (0.84); Alijah Martin (0.59)
Nah'Shon Hyland,1630538,Bones Hyland,0.82,Ashton Hagans (0.64); John Holland (0.59)
Cameron Reddish,1629629,Cam Reddish,1.00,Cameron McGriff (0.67); Cameron Bairstow (0.65)
Love Kevin,,Louis King,0.60,George King (0.57); Kobe Bufkin (0.57)
J. Green,1631260,AJ Green,1.02,Jeff Green (0.93); Josh Green (0.93)
D. Jones Jr.,,David Jones Garcia,0.60,Damian Jones (0.58); DeQuan Jones (0.58)
"Vezenkov, Aleksandar",,Joe Alexander,0.55,Kyle Alexander (0.53); Trey Alexander (0.53)
De’Anthony Melton,1629001,De'Anthony Melton,1.12,Anthony Brown (0.67); Cleanthony Early (0.67)
Danilo Galinari,201568,Danilo Gallinari,0.97,Daniel Gibson (0.64); Daniel Gafford (0.62)
D. Robinson,1628421,Devin Robinson,0.95,Duncan Robinson (0.92); Nate Robinson (0.90)
Richardson Josh,,Josh Richardson,0.67,Jase Richardson (0.67); Jason Richardson (0.65)
"Irving, Kyrie",,Melvin Frazier Jr.,0.52,Kevin Ollie (0.50); Vincent Poirier (0.50)
G. Bitadze,1629048,Goga Bitadze,0.97,Deng Adel (0.53); Tony Bradley (0.45)
Highsmith Haywood,,Brendan Haywood,0.65,Christian Wood (0.58); Isaiah Crawford (0.56)
B. Biyombo,202687,Bismack Biyombo,0.87,Joel Bolomboy (0.52); Bam Adebayo (0.48)
Jalen (2001) Johnson,1630552,Jalen Johnson,0.94,Alize Johnson (0.82); James Johnson (0.82)
J. Isaac,1628371,Jonathan Isaac,0.79,Isaac Bonga (0.53); Isaac Okoro (0.53)
D. Sharpe,1630549,Day'Ron Sharpe,0.88,Shaedon Sharpe (0.85); Jared Harper (0.67)
Nicholas Batum,201587,Nicolas Batum,1.11,Nicolas Brussino (0.67); Thomas Bryant (0.59)
Mil. Bridges,1628969,Mikal Bridges,1.03,Miles Bridges (1.03); Jalen Bridges (0.87)
M. Flynn,1630201,Malachi Flynn,0.82,Jonny Flynn (0.78); Matt Ryan (0.47)
Alvarado Jose,,Jose Alvarado,0.62,Samardo Samuels (0.57); Aaron Brooks (0.56)
Atl Hawks Alternate Total,,Al Harrington,0.47,Walter Clayton Jr. (0.46); Martell Webster (0.45)
Bkn Nets Alternate Total,,Kenneth Lofton Jr.,0.47,Kennedy Chandler (0.45); Blake Ahearn (0.44)
John Collins (Uta),1628381,John Collins,0.80,Jason Collins (0.71); Jarron Collins (0.69)
Daniel Theis (IND),1628464,Daniel Theis,0.80,Daniel Gibson (0.65); Daniel Orton (0.60)
Lyles Trey,1626167,Myles Turner,0.73,Tyler Bey (0.63); Kyle Lowry (0.60)
I. Jackson,1641713,GG Jackson,0.95,Cedric Jackson (0.90); Isaiah Jackson (0.90)
D. Wade,1629731,Dean Wade,0.90,Dwyane Wade (0.82); Deng Adel (0.62)
Livers Isaiah,,Olivier Sarr,0.64,Yves Missi (0.61); Oliver Lafayette (0.55)
Bojan Bogdanovich,202711,Bojan Bogdanovic,0.97,Bogdan Bogdanović (0.82); Boban Marjanovic (0.67)
A. Coffey,1629599,Amir Coffey,0.95,Jack Cooley (0.60); Noah Clowney (0.57)
Trayce Jackson,1641748,Andre Jackson Jr.,0.89,Frank Jackson (0.89); Jaren Jackson Jr. (0.89)
Immanuel Quickley (TOR),1630193,Immanuel Quickley,0.85,Emanuel Miller (0.59); Emmanuel Mudiay (0.58)
Kevin Devon Knox II,,Kevin Knox II,0.69,Kevin Jones (0.53); Devin Ebanks (0.52)
C. Okeke,1629643,Chuma Okeke,0.89,Chima Moneke (0.60); Royce O'Neale (0.50)
M. McBride,1630540,Miles McBride,0.93,Mikal Bridges (0.61); Miles Bridges (0.61)
Barlow Dominick,,Darko Milicic,0.57,Carlos Delfino (0.55); Baron Davis (0.54)
Russell Westbrook (LAC),201566,Russell Westbrook,0.85,Martell Webster (0.53); Rasho Nesterovic (0.46)
C. Martin,1628998,Cody Martin,0.95,KJ Martin (0.93); Caleb Martin (0.91)
Martin Kenyon Jr.,,Mario Hezonja,0.60,Kenyon Martin (0.53); Marcin Gortat (0.53)
A. Burks,202692,Alec Burks,0.93,Aaron Brooks (0.60); Armoni Brooks (0.57)
Royce O’Neale,1626220,Royce O'Neale,0.96,Gary Neal (0.64); Jermaine O'Neal (0.59)
Gregory Jackson,1641713,GG Jackson,0.95,Reggie Jackson (0.91); Aaron Jackson (0.86)
Gregory Jackson II,1641713,GG Jackson,0.71,Reggie Jackson (0.69); Aaron Jackson (0.65)
Simone Fontecchio (Det),1631323,Simone Fontecchio,0.85,Jimmer Fredette (0.47); Jaime Echenique (0.47)
Edrice Femi Adebayo,1628389,Bam Adebayo,0.75,Eric Maynor (0.60); Eric Mika (0.57)
B. Fernando,1628981,Bruno Fernando,0.95,Rudy Fernandez (0.64); Brandon Roy (0.55)
K. Caldwell-Pope,203484,Kentavious Caldwell-Pope,0.70,Caleb Love (0.54); Dylan Cardwell (0.53)
