date,team,player,action,notes
2009-01-02,Bulls,Drew Gooden,relinquished,sprained right ankle (DNP)
2009-01-02,Bulls,Luol Deng,relinquished,sprained left ankle (DNP)
2009-01-02,Clippers,Baron Davis,relinquished,bruised tailbone (DNP)
2009-01-02,Clippers,Zach Randolph,relinquished,sore left knee (DNP)
2009-01-02,Grizzlies,Darius Miles,acquired,reinstated from suspension
2009-01-02,Knicks,Danilo Gallinari,relinquished,sore lower back (DNP)
2009-01-02,Knicks,Tim Thomas,relinquished,sore right big toe (DNP)
2009-01-02,Pistons,Antonio McDyess,relinquished,sore ribs (DNP)
2009-01-02,Pistons,Rasheed Wallace,relinquished,sore right foot (DNP)
2009-01-02,Rockets,Shane Battier,relinquished,left foot inflammation (DNP)
2009-01-02,Thunder,Nick Collison,relinquished,broken left thumb (DNP)
2009-01-03,Blazers,Joel Przybilla,relinquished,fined $7.5K by NBA for involvement in altercation with opposing player
2009-01-03,Bulls,Drew Gooden,relinquished,sprained right ankle (DNP)
2009-01-03,Bulls,Luol Deng,relinquished,sprained left ankle (DNP)
2009-01-03,Heat,Shawn Marion,relinquished,back spasms (DNP)
2009-01-03,Hornets,Tyson Chandler,relinquished,suspended by NBA for 1 game for throwing elbow at opposing player
2009-01-03,Rockets,Ron Artest / Metta World Peace,relinquished,sore right ankle (DNP)
2009-01-04,Clippers,Baron Davis,relinquished,bruised tailbone (DNP)
2009-01-04,Clippers,Jason Hart,relinquished,right elbow tendinitis (DNP)
2009-01-04,Grizzlies,Quinton Ross,relinquished,back spasms (DNP)
2009-01-04,Knicks,Danilo Gallinari,relinquished,sore lower back (DNP)
2009-01-04,Pistons,Rasheed Wallace,relinquished,sore right foot (DNP)
2009-01-04,Raptors,Jose Calderon,relinquished,strained right hamstring (DNP)
2009-01-05,Clippers,Ricky Davis,acquired,reinstated from suspension
2009-01-05,Hornets,Tyson Chandler,acquired,reinstated from suspension
2009-01-05,Nuggets,Carmelo Anthony,relinquished,fractured bone in right hand (out indefinitely)
2009-01-05,Pacers,T.J. Ford,relinquished,sore lower back (DNP)
2009-01-05,Raptors,Jose Calderon,relinquished,strained right hamstring (DNP)
2009-01-05,Spurs,Fabricio Oberto,relinquished,sore foot (DNP)
2009-01-05,Thunder,D.J. White,relinquished,second surgery on jaw to remove benign growth
2009-01-06,Bulls,Luol Deng,relinquished,sprained left ankle (DNP)
2009-01-06,Clippers,Baron Davis,relinquished,bruised tailbone (DNP)
2009-01-06,Clippers,Jason Hart,relinquished,right elbow tendinitis (DNP)
2009-01-06,Knicks,Danilo Gallinari,relinquished,sore lower back (DNP)
2009-01-06,Knicks,Jerome James,relinquished,sore left knee (DNP)
2009-01-06,Rockets,Ron Artest / Metta World Peace,relinquished,sore right ankle (DNP)
2009-01-07,Hawks,Acie Law,relinquished,placed on IL for personal reasons
2009-01-07,Heat,Daequan Cook,relinquished,bruised left leg/knee (DNP)
2009-01-07,Nuggets,Carmelo Anthony,relinquished,fractured bone in right hand (DNP)
2009-01-07,Pistons,Rasheed Wallace,relinquished,sore right foot (DNP)
2009-01-07,Raptors,Jamario Moon,relinquished,birth of child (DNP)
2009-01-07,Raptors,Jose Calderon,relinquished,strained right hamstring (DNP)
2009-01-07,Rockets,Tracy McGrady,relinquished,sore left knee (DNP)
2009-01-07,Suns,Shaquille O'Neal,relinquished,back spasms (DNP)
2009-01-07,Warriors,Anthony Morrow,relinquished,placed on IL with birth of child
2009-01-07,Warriors,Brandan Wright,relinquished,partially dislocated left shoulder (right shoulder per CBC) (DTD)
2009-01-08,Clippers,Baron Davis,relinquished,bruised tailbone (DNP)
2009-01-09,Bulls,Luol Deng,relinquished,sprained left ankle (DNP)
2009-01-09,Clippers,Baron Davis,relinquished,bruised tailbone (DNP)
2009-01-09,Hawks,Acie Law,acquired,activated from IL
2009-01-09,Heat,Daequan Cook,acquired,returned to lineup
2009-01-09,Heat,James Jones (Andrew),acquired,returned to lineup
2009-01-09,Nets,Yi Jianlian / Jianlian Yi,relinquished,broken right pinkie finger (out indefinitely)
2009-01-09,Nuggets,Carmelo Anthony,relinquished,fractured bone in right hand (DNP)
2009-01-09,Pistons,Rasheed Wallace,relinquished,sore right foot (DNP)
2009-01-09,Raptors,Jose Calderon,relinquished,strained right hamstring (DNP)
2009-01-09,Rockets,Brent Barry,relinquished,personal reasons (DNP)
2009-01-09,Rockets,Ron Artest / Metta World Peace,relinquished,sprained right ankle (DNP)
2009-01-10,Bulls,Luol Deng,relinquished,sprained left ankle (DNP)
2009-01-10,Bulls,Thabo Sefolosha,relinquished,flu (DNP)
2009-01-10,Jazz,Carlos Boozer,relinquished,arthroscopic surgery on left knee (out indefinitely)
2009-01-10,Knicks,Eddy Curry,relinquished,sore left knee (DNP)
2009-01-10,Rockets,Ron Artest / Metta World Peace,relinquished,sprained right ankle (DNP)
2009-01-10,Warriors,Anthony Morrow,acquired,activated from IL
2009-01-10,Warriors,Marcus Williams (D.),relinquished,flu (DNP)
2009-01-11,Celtics,Kendrick Perkins,relinquished,sore left shoulder (DNP)
2009-01-11,Clippers,Baron Davis,relinquished,bruised tailbone (DNP)
2009-01-11,Warriors,Marcus Williams (D.),relinquished,flu (DNP)
2009-01-12,Hornets,Devin Brown,relinquished,sprained left ankle (DNP)
2009-01-12,Jazz,Paul Millsap,relinquished,bruised right knee (DNP)
2009-01-12,Knicks,Eddy Curry,relinquished,sore right knee (DNP)
2009-01-12,Raptors,Jose Calderon,relinquished,strained right hamstring (DNP)
2009-01-12,Thunder,Joe Smith (Leynard),relinquished,sore left knee (DNP)
2009-01-13,Grizzlies,Quinton Ross,relinquished,back spasms (DNP)
2009-01-13,Lakers,Sasha Vujacic,relinquished,back spasms (DNP)
2009-01-13,Nuggets,Carmelo Anthony,relinquished,fractured bone in right hand (DNP)
2009-01-13,Pistons,Walter Herrmann,relinquished,illness (DTD)
2009-01-13,Rockets,Luther Head,relinquished,sore right foot (DNP)
2009-01-13,Warriors,Marco Belinelli,relinquished,sprained right ankle (out indefinitely)
2009-01-13,Wizards,Etan Thomas,relinquished,torn MCL in left knee (out indefinitely)
2009-01-14,Clippers,Baron Davis,relinquished,bruised tailbone (DNP)
2009-01-14,Clippers,Jason Hart,relinquished,sore right elbow (DNP)
2009-01-14,Jazz,Paul Millsap,relinquished,bruised right knee (DNP)
2009-01-14,Knicks,Eddy Curry,relinquished,sore right knee (DNP)
2009-01-14,Lakers,Sasha Vujacic,relinquished,back spasms (DNP)
2009-01-14,Raptors,Jose Calderon,relinquished,strained right hamstring (DNP)
2009-01-14,Thunder,Robert Swift,relinquished,stomach virus (DTD)
2009-01-14,Warriors,Marco Belinelli,relinquished,sprained right ankle (DNP)
2009-01-14,Wizards,Etan Thomas,relinquished,torn MCL in left knee (DNP)
2009-01-15,Bucks,Andrew Bogut,relinquished,back spasms (DTD)
2009-01-15,Cavaliers,Delonte West,relinquished,fractured right wrist (out indefinitely)
2009-01-15,Nuggets,Carmelo Anthony,relinquished,fractured bone in right hand (DNP)
2009-01-15,Suns,Shaquille O'Neal,relinquished,rest (DNP)
2009-01-16,Grizzlies,Quinton Ross,relinquished,back spasms (DNP)
2009-01-16,Knicks,Eddy Curry,relinquished,sore right knee (DNP)
2009-01-16,Knicks,Tim Thomas,relinquished,flu (DNP)
2009-01-16,Mavericks,Mark Cuban,relinquished,"fined as owner $25,000 by NBA for improper interactions with opposing player during game and conduct after game"
