date,team,acquired,relinquished,notes
2009-02-09,76ers,,Elton Brand,surgery to repair separated right shoulder (out ~6 months)
2009-04-01,76ers,,Thaddeus Young,sprained right ankle (out indefinitely)
2009-04-02,76ers,,Thaddeus Young,sprained right ankle (DNP)
2009-04-04,76ers,,Thaddeus Young,sprained right ankle (DNP)
2009-04-05,76ers,,Thaddeus Young,sprained right ankle (DNP)
2009-04-07,76ers,,Thaddeus Young,sprained right ankle (DNP)
2009-04-10,76ers,,Thaddeus Young,sprained right ankle (DNP)
2009-11-15,76ers,,Marreese Speights,partially torn MCL in left knee (out indefinitely)
2009-11-21,76ers,,Jason Kapono,sprained left ankle (DNP)
2009-11-25,76ers,,Elton Brand,sore right hamstring (DNP)
2009-11-25,76ers,,Louis Williams / Lou Williams,fractured jaw (DNP)
2009-11-26,76ers,,Louis Williams / Lou Williams,surgery to repair fractured jaw (out indefinitely)
2009-11-27,76ers,,Elton Brand,sore right hamstring (DNP)
2009-11-27,76ers,,Louis Williams / Lou Williams,recovering from surgery to repair fractured jaw (DNP)
2009-11-29,76ers,,Elton Brand,sore right hamstring (DNP)
2009-11-29,76ers,,Louis Williams / Lou Williams,recovering from surgery to repair fractured jaw (DNP)
2009-11-30,76ers,,Louis Williams / Lou Williams,recovering from surgery to repair fractured jaw (DNP)
2009-12-02,76ers,,Louis Williams / Lou Williams,recovering from surgery to repair fractured jaw (DNP)
2009-12-05,76ers,,Jrue Holiday,strained rotator cuff in right shoulder (DNP)
2009-12-07,76ers,,Jrue Holiday,strained rotator cuff in right shoulder (DNP)
2009-12-09,76ers,,Jrue Holiday,strained rotator cuff in right shoulder (DNP)
2009-12-17,76ers,,Allen Iverson,left knee injury (DTD)
2009-12-18,76ers,,Allen Iverson,arthritis in left knee (DTD)
2010-02-03,76ers,,Allen Iverson,placed on IL with ill child
2010-02-03,76ers,,Jason Kapono,migraine headache (DTD)
2010-02-09,76ers,Jason Kapono,,returned to lineup
2010-02-16,76ers,Allen Iverson,,activated from IL
2010-02-19,76ers,,Willie Green,left shoulder injury (DNP)
2010-02-20,76ers,,Willie Green,strained left shoulder (DNP)
2010-02-23,76ers,,Allen Iverson,placed on IL with ill child (out for season)
2010-02-23,76ers,,Willie Green,strained left shoulder (DNP)
2010-02-23,76ers,,Jason Smith,sprained right ankle (DNP)
2010-02-24,76ers,,Jason Smith,sprained right ankle (DNP)
2010-02-24,76ers,,Willie Green,strained left shoulder (DNP)
2010-02-26,76ers,,Jason Smith,sprained right ankle (DNP)
2010-02-26,76ers,,Willie Green,bruised left shoulder (DNP)
2010-03-01,76ers,,Elton Brand,right Achilles tendinitis (DNP)
2010-03-03,76ers,,Elton Brand,right Achilles tendinitis (DNP)
2010-03-09,76ers,,Marreese Speights,sprained right knee (DNP)
2010-03-10,76ers,,Marreese Speights,sprained right knee (DNP)
2010-03-12,76ers,,Jason Kapono,sinus infection (DTD)
2010-03-12,76ers,,Marreese Speights,sprained right knee (DNP)
2010-03-14,76ers,,Marreese Speights,sprained right knee (DNP)
2010-03-15,76ers,,Louis Williams / Lou Williams,sore lower back (DNP)
2010-03-15,76ers,,Marreese Speights,sprained right knee (DNP)
2010-03-17,76ers,,Marreese Speights,sprained right knee (DNP)
2010-03-17,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-03-19,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-03-20,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-03-22,76ers,,Louis Williams / Lou Williams,sore lower back (DNP)
2010-03-22,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-03-24,76ers,,Louis Williams / Lou Williams,sore lower back (DNP)
2010-03-24,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-03-26,76ers,,Louis Williams / Lou Williams,sore lower back (DNP)
2010-03-26,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-03-30,76ers,,Louis Williams / Lou Williams,sore lower back (DNP)
2010-03-30,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-03-31,76ers,,Louis Williams / Lou Williams,sore lower back (DNP)
2010-03-31,76ers,,Rodney Carney,right foot injury (DNP)
2010-03-31,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-04-03,76ers,,Rodney Carney,bruised right big toe (DNP)
2010-04-03,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-04-06,76ers,,Rodney Carney,right big toe injury (DNP)
2010-04-06,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-04-07,76ers,,Rodney Carney,bruised right big toe (DNP)
2010-04-07,76ers,,Thaddeus Young,fractured right thumb (DNP)
2010-04-09,76ers,,Jason Smith,bruised left knee (DNP)
2010-04-09,76ers,,Rodney Carney,bruised right big toe (DNP)
2010-11-10,76ers,,Jason Kapono,placed on IL for personal reasons
2010-11-11,76ers,,Andres Nocioni,fined $25K by NBA for throwing his mouthpiece into the stands during game
2010-11-12,76ers,Jason Kapono,,activated from IL
2010-11-23,76ers,,Jason Kapono,placed on IL for personal reasons
